pass_num,gain_set,t_ms,raw_m,die_c,amb_c,rssi_dbm,gain_step,snr_db,rssi_sync,kept
2,9,212578,4.2819,40.6,29.60,-53.5,9,0.0,-35.5,1
2,9,213304,3.8311,40.6,29.60,-53.5,9,0.0,-35.5,1
2,9,214030,4.3269,40.6,29.59,-53.5,9,0.0,-35.5,1
2,9,214756,4.1917,40.6,29.60,-53.5,9,0.0,-35.5,1
2,9,215482,3.4480,40.6,29.59,-53.5,9,0.0,-35.5,1
2,9,216208,5.8368,39.6,29.59,-53.5,9,0.0,-35.5,1
2,9,216934,5.8368,39.6,29.59,-53.5,9,0.0,-35.5,1
2,9,217660,3.8987,39.6,29.59,-53.5,9,0.0,-35.5,1
2,9,218386,3.9213,40.6,29.59,-53.5,9,0.0,-35.5,1
2,9,219112,4.7551,40.6,29.60,-53.5,9,0.0,-35.5,1
2,9,219838,3.5607,40.6,29.60,-53.5,9,0.0,-35.5,1
2,9,220564,4.3945,39.6,29.60,-53.0,9,0.0,-35.5,1
2,9,221290,3.8311,40.6,29.60,-53.5,9,0.0,-35.5,1
2,9,222016,4.6424,39.6,29.59,-53.5,9,0.0,-35.5,1
2,9,222742,4.5748,39.6,29.59,-53.5,9,0.0,-35.5,1
2,9,223468,5.1833,39.6,29.60,-53.5,9,0.0,-35.5,1
2,9,224194,5.0030,39.6,29.60,-53.5,9,0.0,-35.5,1
2,9,224920,5.0030,40.6,29.59,-53.5,9,0.0,-35.5,1
2,9,225646,5.1382,40.6,29.59,-53.5,9,0.0,-35.5,1
2,9,226372,4.1241,39.6,29.59,-53.5,9,0.0,-35.5,1
2,9,227098,4.3044,39.6,29.59,-53.5,9,0.0,-35.5,1
2,9,227824,4.3269,40.6,29.59,-53.5,9,0.0,-35.5,1
2,9,228550,5.4537,40.6,29.59,-53.5,9,0.0,-35.5,1
2,9,229276,3.5607,40.6,29.59,-53.5,9,0.0,-35.5,1
2,9,230002,4.1917,40.6,29.59,-53.5,9,0.0,-35.5,1
2,9,230728,5.2960,39.6,29.59,-53.5,9,0.0,-35.5,1
2,9,231454,3.0874,39.6,29.59,-53.5,9,0.0,-35.5,1
2,9,232180,4.2142,39.6,29.59,-53.5,9,0.0,-35.5,1
2,9,232906,4.2142,40.6,29.59,-53.5,9,0.0,-35.5,1
2,9,233632,4.4396,39.6,29.59,-53.5,9,0.0,-35.5,1
2,9,234358,4.9354,38.6,29.58,-53.5,9,0.0,-35.5,1
2,9,235084,4.6650,38.6,29.59,-53.5,9,0.0,-35.5,1
2,9,235810,4.1692,39.6,29.59,-53.5,9,0.0,-35.5,1
2,9,236536,5.1833,39.6,29.59,-53.5,9,0.0,-35.5,1
2,9,237262,3.1776,39.6,29.59,-53.5,9,0.0,-35.5,1
2,9,237988,3.3804,40.6,29.59,-53.0,9,0.0,-35.5,1
2,9,238714,4.5974,39.6,29.59,-53.5,9,0.0,-35.5,1
2,9,239440,4.7551,39.6,29.59,-53.5,9,0.0,-35.5,1
2,9,240166,3.5607,40.6,29.59,-53.5,9,0.0,-35.5,1
2,9,240892,3.5607,39.6,29.59,-53.5,9,0.0,-35.5,1
2,9,241618,4.3269,39.6,29.59,-53.5,9,0.0,-35.5,1
2,9,242344,4.4396,38.6,29.58,-53.5,9,0.0,-35.5,1
2,9,243070,4.5974,39.6,29.59,-53.0,9,0.0,-35.5,1
2,9,243796,3.5832,39.6,29.59,-53.5,9,0.0,-35.5,1
2,9,244522,5.0481,39.6,29.59,-53.5,9,0.0,-35.5,1
2,9,245248,4.5748,40.6,29.59,-53.5,9,0.0,-35.5,1
2,9,245974,4.6199,40.6,29.59,-53.5,9,0.0,-35.5,1
2,9,246700,3.1100,40.6,29.58,-53.5,9,0.0,-35.5,1
2,9,247426,4.6650,40.6,29.59,-53.5,9,0.0,-35.5,1
2,9,248152,3.5607,40.6,29.59,-53.5,9,0.0,-35.5,1
2,9,248878,4.7100,39.6,29.59,-53.5,9,0.0,-35.5,1
2,9,249604,4.9805,39.6,29.59,-53.5,9,0.0,-35.5,1
2,9,250330,4.2368,39.6,29.59,-53.5,9,0.0,-35.5,1
2,9,251056,4.0565,40.6,29.58,-53.5,9,0.0,-35.5,1
2,9,251782,5.0030,40.6,29.59,-53.0,9,0.0,-35.5,1
2,9,252508,3.9663,40.6,29.59,-53.5,9,0.0,-35.5,1
2,9,253234,3.9438,40.6,29.58,-53.5,9,0.0,-35.5,1
2,9,253960,2.9297,40.6,29.58,-53.5,9,0.0,-35.5,1
2,9,254686,4.4847,40.6,29.58,-53.5,9,0.0,-35.5,1
2,9,255412,3.9438,40.6,29.58,-53.5,9,0.0,-35.5,1
2,9,256138,4.4621,40.6,29.58,-53.0,9,0.0,-35.5,1
2,9,256864,4.8227,40.6,29.58,-53.0,9,0.0,-35.5,1
2,9,257590,4.6650,40.6,29.58,-53.5,9,0.0,-35.5,1
2,9,258316,3.8311,39.6,29.58,-53.0,9,0.0,-35.5,1
2,9,259042,3.9438,39.6,29.59,-53.5,9,0.0,-35.5,1
2,9,259768,4.8002,40.6,29.59,-53.5,9,0.0,-35.5,1
2,9,260494,4.5974,40.6,29.58,-53.5,9,0.0,-35.5,1
2,9,261220,3.9889,40.6,29.58,-53.5,9,0.0,-35.5,1
2,9,261946,5.2058,39.6,29.58,-53.5,9,0.0,-35.5,1
2,9,262672,5.2058,39.6,29.58,-53.5,9,0.0,-35.5,1
2,9,263398,4.7551,39.6,29.58,-53.5,9,0.0,-35.5,1
2,9,264124,3.6959,39.6,29.58,-53.5,9,0.0,-35.5,1
2,9,264850,3.7635,39.6,29.58,-53.5,9,0.0,-35.5,1
2,9,265576,5.1833,40.6,29.58,-53.5,9,0.0,-35.5,1
2,9,266302,4.1692,40.6,29.58,-53.5,9,0.0,-35.5,1
2,9,267028,3.8086,40.6,29.58,-53.5,9,0.0,-35.5,1
2,9,267754,5.2058,40.6,29.58,-53.0,9,0.0,-35.5,1
2,9,268480,4.4171,40.6,29.58,-53.5,9,0.0,-35.5,1
2,9,269206,4.9805,40.6,29.58,-53.5,9,0.0,-35.5,1
2,9,269932,3.5382,39.6,29.58,-53.5,9,0.0,-35.5,1
2,9,270658,3.5382,39.6,29.58,-53.5,9,0.0,-35.5,1
2,9,271384,3.8762,40.6,29.58,-53.5,9,0.0,-35.5,1
2,9,272110,4.1016,40.6,29.58,-53.5,9,0.0,-35.5,1
2,9,272836,4.7551,40.6,29.58,-53.5,9,0.0,-35.5,1
2,9,273562,4.9354,40.6,29.58,-53.5,9,0.0,-35.5,1
2,9,274288,4.2142,40.6,29.58,-53.0,9,0.0,-35.5,1
2,9,275014,3.4931,40.6,29.58,-53.5,9,0.0,-35.5,1
2,9,275740,4.4396,40.6,29.58,-53.5,9,0.0,-35.5,1
2,9,276466,4.6424,40.6,29.58,-53.0,9,0.0,-35.5,1
2,9,277192,4.8227,40.6,29.58,-53.5,9,0.0,-35.5,1
2,9,277918,3.9889,40.6,29.57,-53.5,9,0.0,-35.5,1
2,9,278644,3.9889,40.6,29.58,-53.5,9,0.0,-35.5,1
2,9,279370,4.3044,40.6,29.58,-53.5,9,0.0,-35.5,1
2,9,280096,3.4706,39.6,29.58,-53.5,9,0.0,-35.5,1
2,9,280822,4.5748,40.6,29.58,-53.0,9,0.0,-35.5,1
2,9,281548,3.7184,40.6,29.58,-53.5,9,0.0,-35.5,1
2,9,282274,3.9663,40.6,29.58,-53.0,9,0.0,-35.5,1
2,9,283000,3.8311,40.6,29.58,-53.0,9,0.0,-35.5,1
2,9,283726,3.6508,40.6,29.58,-53.5,9,0.0,-35.5,1
2,9,284452,4.1016,39.6,29.58,-53.5,9,0.0,-35.5,1
2,9,285178,4.3945,39.6,29.57,-53.5,9,0.0,-35.5,1
2,9,285904,3.7635,39.6,29.57,-53.0,9,0.0,-35.5,1
2,9,286630,3.7635,39.6,29.57,-53.0,9,0.0,-35.5,1
2,9,287356,3.9663,39.6,29.58,-53.5,9,0.0,-35.5,1
2,9,288082,5.4988,40.6,29.58,-53.5,9,0.0,-35.5,1
2,9,288808,4.1692,40.6,29.57,-53.0,9,0.0,-35.5,1
2,9,289534,4.3945,40.6,29.57,-53.5,9,0.0,-35.5,1
2,9,290260,3.3579,40.6,29.58,-53.5,9,0.0,-35.5,1
2,9,290986,4.5523,39.6,29.58,-53.5,9,0.0,-35.5,1
2,9,291712,4.6424,40.6,29.58,-53.0,9,0.0,-35.5,1
2,9,292438,4.2368,39.6,29.57,-53.5,9,0.0,-35.5,1
2,9,293164,5.6340,39.6,29.58,-53.5,9,0.0,-35.5,1
2,9,293890,3.6058,39.6,29.58,-53.5,9,0.0,-35.5,1
2,9,294616,3.6058,40.6,29.57,-53.5,9,0.0,-35.5,1
2,9,295342,5.1608,40.6,29.57,-53.5,9,0.0,-35.5,1
2,9,296068,5.5213,40.6,29.57,-53.5,9,0.0,-35.5,1
2,9,296794,4.1466,40.6,29.57,-53.5,9,0.0,-35.5,1
2,9,297520,5.3636,40.6,29.58,-53.5,9,0.0,-35.5,1
2,9,298246,4.6875,40.6,29.57,-53.5,9,0.0,-35.5,1
2,9,298972,4.8903,40.6,29.57,-53.5,9,0.0,-35.5,1
