--- Terminal on /dev/ttyACM1 | 115200 8-N-1
--- Available filters and text transformations: debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
aw_m,die_c,amb_c
448431,-7.4369,22.3,12.69
449152,-7.4369,22.3,12.68
449873,-7.4369,22.3,12.67
450594,-7.4369,23.3,12.66
451315,-7.4369,23.3,12.65
452036,-7.4369,24.3,12.64
452757,-7.4369,23.3,12.63
453478,-7.4369,23.3,12.62
454199,-7.4369,23.3,12.61
454920,-7.4369,24.3,12.61
455641,-7.4369,24.3,12.60
456362,-7.4369,23.3,12.59
457083,-7.4369,23.3,12.58
457804,-7.4369,23.3,12.57
458525,-7.4369,23.3,12.56
459246,-7.4369,23.3,12.56
459967,-7.4369,24.3,12.55
460688,-7.4369,23.3,12.54
461409,-7.4369,22.3,12.54
462130,-7.4369,23.3,12.52
462851,-7.4369,23.3,12.51
463572,-7.4369,22.3,12.51
464293,-7.4369,23.3,12.50
465014,-7.4369,23.3,12.49
465735,-7.4369,24.3,12.48
466456,-7.5721,23.3,12.47
467177,-8.2707,23.3,12.46
467898,-7.3017,22.3,12.45
468619,-7.3468,23.3,12.44
469340,-7.0538,23.3,12.43
470061,-7.5270,23.3,12.43
470782,-6.9862,23.3,12.42
471503,-7.2115,22.3,12.41
472224,-8.3158,22.3,12.40
472945,-6.9186,22.3,12.40
473666,-6.1298,21.3,12.38
474387,-7.2566,23.3,12.38
475108,-7.4594,22.3,12.37
475829,-7.9778,23.3,12.36
476550,-7.9778,22.3,12.36
477271,-7.9778,23.3,12.35
477992,-7.9778,23.3,12.34
478713,-7.9778,23.3,12.33
479434,-7.9778,22.3,12.33
480155,-7.9778,22.3,12.32
480876,-7.9778,23.3,12.30
481597,-7.9778,23.3,12.30
482318,-7.9778,23.3,12.28
483039,-7.9778,22.3,12.27
483760,-7.9778,21.3,12.27
484481,-7.9778,22.3,12.26
485202,-7.9778,23.3,12.25
485923,-7.9778,23.3,12.24
486644,-7.9778,23.3,12.23
487365,-7.9778,23.3,12.22
488086,-7.9778,23.3,12.21
488807,-7.9778,23.3,12.21
489528,-7.9778,22.3,12.19
490249,-7.9778,22.3,12.19
490970,-7.9778,22.3,12.18
491691,-7.9778,23.3,12.17
492412,-7.4594,22.3,12.16
493133,-7.2115,21.3,12.15
493854,-6.4904,21.3,12.14
494575,-6.0397,22.3,12.14
495296,-6.7157,23.3,12.13
496017,-6.9636,23.3,12.12
496738,-6.9186,22.3,12.12
497459,-6.7383,23.3,12.11
498180,-6.7834,23.3,12.10
498901,-7.8651,23.3,12.09
499622,-7.0312,23.3,12.08
500343,-6.8735,23.3,12.07
501064,-6.7608,23.3,12.07
501785,-7.3242,23.3,12.06
502506,-6.4453,23.3,12.05
503227,-6.4453,23.3,12.04
503948,-6.4453,23.3,12.03
504669,-6.4453,22.3,12.03
505390,-6.4453,22.3,12.02
506111,-6.4453,23.3,12.01
506832,-6.4453,22.3,12.00
507553,-6.4453,23.3,11.99
# [n=700] mean=-7.0956 m  sigma=1.0748 m  die=23.3 C  CalVal=-43
508274,-6.4453,23.3,11.98
508995,-6.4453,23.3,11.97
509716,-6.4453,23.3,11.97
510437,-6.4453,23.3,11.96
511158,-6.4453,22.3,11.95
511879,-6.4453,22.3,11.94
512600,-6.4453,21.3,11.93
513321,-6.4453,21.3,11.92
514042,-6.4453,21.3,11.91
514763,-6.4453,21.3,11.91
515484,-6.4453,21.3,11.90
516205,-6.4453,21.3,11.89
516926,-6.4453,22.3,11.88
517647,-6.4453,22.3,11.88
518368,-6.4453,23.3,11.87
519089,-7.0763,23.3,11.86
519810,-7.2791,23.3,11.85
520531,-7.4144,22.3,11.85
521252,-6.6932,23.3,11.83
521973,-6.7608,23.3,11.83
522694,-6.9411,23.3,11.82
523415,-6.9636,23.3,11.81
524136,-6.4002,23.3,11.80
524857,-6.7608,23.3,11.79
525578,-7.2341,23.3,11.78
526299,-7.5496,22.3,11.78
